ProviderId,Name,Upin,DateOpened,DateClosed
10086786,East Huntspill Primary Academy,162780,2021-04-01,NULL
10082915,Pawlett Primary School Academy,140656,2019-04-01,NULL
10088067,West Huntspill Primary Academy,162787,2021-04-01,NULL
10083614,Hartpury Church of England Primary School,151983,2019-07-01,NULL
10083212,Doddinghurst Church of England Junior School,151793,2019-06-01,NULL
10086728,Warren Primary School,162635,2020-10-01,NULL
10082178,Yenton Primary School,141629,2019-09-01,NULL
10083031,Ulverley School,141625,2020-02-01,NULL
10089743,Birches Green Junior School,163232,2022-03-01,NULL
10086813,Abbey Catholic Primary School,162471,2021-04-01,NULL
10083184,Sacred Heart Catholic School,151784,2019-06-01,NULL
10088747,Chelveston Road School,163410,2021-09-01,NULL
10082920,North Cadbury Church of England Primary School,151785,2019-04-01,NULL
10082912,Somersham Primary School,151718,2019-04-01,NULL
10084723,Bramhope Primary School,151777,2019-11-01,NULL
10084998,St Marys Church of England Primary Academy,162174,2020-02-01,NULL
10083010,All Soul's Church of England Primary School,141515,2019-04-01,NULL
10086822,Redscope Primary School,162450,2020-09-01,NULL
10086829,Thorpe Hesley Primary School,141088,2020-09-01,NULL
10088639,St Mary's Catholic Primary Academy,163155,2021-07-01,NULL
10088640,St Patrick's Catholic Primary Academy,163156,2021-07-01,NULL
10088114,St Joseph's Catholic Primary Academy,163154,2021-07-01,NULL
10088113,St Mary's Catholic Primary Academy,162681,2022-04-01,NULL
10088112,St Joseph's Catholic Primary Academy,163152,2021-10-01,NULL
10088115,St Joseph's Catholic Primary Academy,163151,2021-10-01,NULL
10088641,St Patrick's Catholic Primary Academy,163158,2021-07-01,NULL
10088111,St Joseph's Catholic Primary Academy,163153,2021-10-01,NULL
10088110,Our Lady of Lourdes Catholic Primary Academy,163141,2021-07-01,NULL
10089767,St Patrick's Catholic Primary Academy,163157,2022-01-01,NULL
10088109,St Paulinus Catholic Primary Academy,163159,2022-04-01,NULL
10089554,Holy Spirit Catholic Primary Academy,162884,2021-12-01,NULL
10086856,Blackwell Primary School,162915,2020-09-01,NULL
10083340,"All Saints Catholic Primary School, a Catholic Voluntary Academy",151964,2019-06-01,NULL
10086847,"St Hedda's Catholic Primary School, a Catholic Voluntary Academy",162212,2020-09-01,NULL
10085839,Wild Bank Primary School,162535,2020-04-01,NULL
10089760,Ellenborough Academy,163638,2022-01-01,NULL
10087286,Kirkland Church of England Academy,162706,2021-02-01,NULL
10084198,Wreay Church of England Primary School,162254,2019-09-01,NULL
10088222,Threlkeld CofE Primary School,163357,2021-06-01,NULL
10085826,Clewer Green CofE First School,134635,2020-04-01,NULL
10089247,Oakfield First School,163526,2021-10-01,NULL
10084496,Ringshall School,162301,2019-10-01,NULL
10086143,Lime Academy Orton,162629,2020-06-01,NULL
10084212,St Edward's Catholic Primary School,162208,2019-09-01,NULL
10090184,St Winefride's RC Primary School,163731,2022-04-01,NULL
10086855,St Antony's Catholic Primary School,162785,2020-09-01,NULL
10084211,St Francis' Catholic Primary School,151905,2019-09-01,NULL
10084476,St Werburgh's CofE Primary School,151972,2019-10-01,NULL
10089101,Bedfield Church of England Primary School,163475,2021-11-01,NULL
10084740,Wetheringsett Church of England Primary School,162374,2019-11-01,NULL
10090051,Camp Hill Primary School,163701,2022-03-01,NULL
10082924,Hollinhey Primary School,141246,2019-04-01,NULL
10084210,Laughton All Saints' CofE Primary School,141025,2019-10-01,NULL
10083656,Pye Bank CofE Primary School,151823,2019-07-01,NULL
10084995,Totley All Saints Church of England Voluntary Aided Primary School,151847,2019-12-01,NULL
10087294,All Saints Bedworth CofE Academy,162709,2021-02-01,NULL
10087091,Utkinton St Paul's CofE Primary School,163031,2020-12-01,NULL
10088642,Bosley St Mary's CofE Primary School,163387,2021-09-01,NULL
10085813,Little Bollington CofE Primary School,162575,2020-04-01,NULL
10085399,Bredbury St. Marks CofE Primary School,162526,2020-02-01,NULL
10086808,St George's CofE Primary School,162939,2020-10-01,NULL
10088785,Young People's Academy,163453,2022-04-01,NULL
10088228,Bishopton PRU,163268,2021-05-01,NULL
10067761,Sherburn High School,140813,2019-10-01,NULL
10084533,Brayton Church of England Primary School,162316,2019-11-01,NULL
10084731,St Katherine's School & Nursery,162370,2019-11-01,NULL
10084989,Cherry Tree Learning Centre,162283,2019-12-01,NULL
10065360,Hospital and Outreach Education,124174,2019-04-01,NULL
