Days (APT to Issue),2017-18 GAGs issued,2018-19 GAGs issued,2019-20 GAGs issued
1,0,5,21
2,0,0,905
3,154,9,468
4,21,416,2937
5,1620,1924,615
6,884,864,1215
7,1909,0,490
8,36,1655,1424
9,1454,576,0
10,123,1405,327
11,111,283,0
12,65,20,0
13,0,212,0
14,0,42,0
15,0,60,0
