New UPIN,Month,Year,,,,,,
141343,6,2019,,,,,,
151696,6,2019,,,,,,
151916,6,2019,,,,,,
151697,6,2019,,,,,,
141644,6,2019,,,,,,
151806,6,2019,,,,,,
151698,6,2019,,,,,,
139377,6,2019,,,,,,
151893,6,2019,,,,,,
151894,6,2019,,,,,,
141257,6,2019,,,,,,
151959,6,2019,,,,,,
141273,6,2019,,,,,,
141272,6,2019,,,,,,
151895,6,2019,,,,,,
151773,6,2019,,,,,,
139389,6,2019,,,,,,
151818,6,2019,,,,,,
151819,6,2019,,,,,,
151823,6,2019,,,,,,
141266,6,2019,,,,,,
151783,6,2019,,,,,,
151826,6,2019,,,,,,
141281,6,2019,,,,,,
141336,6,2019,,,,,,
140597,6,2019,,,,,,
140900,6,2019,,,,,,
141548,6,2019,,,,,,
151978,6,2019,,,,,,
141650,6,2019,,,,,,
141651,6,2019,,,,,,
151902,6,2019,,,,,,
151974,6,2019,,,,,,
151903,6,2019,,,,,,
141635,6,2019,,,,,,
139561,6,2019,,,,,,
151975,6,2019,,,,,,
140010,6,2019,,,,,,
139562,6,2019,,,,,,
151966,6,2019,,,,,,
141615,6,2019,,,,,,
151906,6,2019,,,,,,
140837,6,2019,,,,,,
151907,6,2019,,,,,,
139427,6,2019,,,,,,
141444,6,2019,,,,,,
151710,6,2019,,,,,,
151837,6,2019,,,,,,
141357,6,2019,,,,,,
141074,6,2019,,,,,,
138836,6,2019,,,,,,
151909,6,2019,,,,,,
124149,6,2019,,,,,,
151920,6,2019,,,,,,
151921,6,2019,,,,,,
141083,6,2019,,,,,,
141645,6,2019,,,,,,
141094,6,2019,,,,,,
134626,6,2019,,,,,,
151778,6,2019,,,,,,
151868,6,2019,,,,,,
141100,6,2019,,,,,,
141110,6,2019,,,,,,
141647,6,2019,,,,,,
141625,6,2019,,,,,,
120761,6,2019,,,,,,
141109,6,2019,,,,,,
141466,6,2019,,,,,,
141108,6,2019,,,,,,
151857,6,2019,,,,,,
151914,6,2019,,,,,,
141629,6,2019,,,,,,
#N/A,7,2019,,,,,,
141164,7,2019,,,,,,
151791,7,2019,,,,,,
151771,7,2019,,,,,,
141519,7,2019,,,,,,
140500,7,2019,,,,,,
151962,7,2019,,,,,,
151879,7,2019,,,,,,
141433,7,2019,,,,,,
141631,7,2019,,,,,,
151770,7,2019,,,,,,
151767,7,2019,,,,,,
151883,7,2019,,,,,,
139261,7,2019,,,,,,
151991,7,2019,,,,,,
140505,7,2019,,,,,,
134426,7,2019,,,,,,
151992,7,2019,,,,,,
151776,7,2019,,,,,,
140512,7,2019,,,,,,
139276,7,2019,,,,,,
151961,7,2019,,,,,,
141526,7,2019,,,,,,
151789,7,2019,,,,,,
#N/A,7,2019,,,,,,
140529,7,2019,,,,,,
152008,7,2019,,,,,,
138427,7,2019,,,,,,
151797,7,2019,,,,,,
140536,7,2019,,,,,,
141418,7,2019,,,,,,
151983,7,2019,,,,,,
141111,7,2019,,,,,,
141237,7,2019,,,,,,
141460,7,2019,,,,,,
139539,7,2019,,,,,,
141458,7,2019,,,,,,
151695,7,2019,,,,,,
141535,7,2019,,,,,,
141025,7,2019,,,,,,
140561,7,2019,,,,,,
141343,7,2019,,,,,,
151892,7,2019,,,,,,
140920,7,2019,,,,,,
141644,7,2019,,,,,,
151698,7,2019,,,,,,
141567,7,2019,,,,,,
141338,7,2019,,,,,,
139377,7,2019,,,,,,
151893,7,2019,,,,,,
151894,7,2019,,,,,,
151917,7,2019,,,,,,
141273,7,2019,,,,,,
141272,7,2019,,,,,,
151895,7,2019,,,,,,
139389,7,2019,,,,,,
151818,7,2019,,,,,,
151986,7,2019,,,,,,
141613,7,2019,,,,,,
151823,7,2019,,,,,,
141266,7,2019,,,,,,
141281,7,2019,,,,,,
151958,7,2019,,,,,,
140597,7,2019,,,,,,
140900,7,2019,,,,,,
134590,7,2019,,,,,,
151957,7,2019,,,,,,
151978,7,2019,,,,,,
151977,7,2019,,,,,,
151901,7,2019,,,,,,
151903,7,2019,,,,,,
151904,7,2019,,,,,,
151976,7,2019,,,,,,
140010,7,2019,,,,,,
139562,7,2019,,,,,,
151906,7,2019,,,,,,
152025,7,2019,,,,,,
140837,7,2019,,,,,,
151967,7,2019,,,,,,
151907,7,2019,,,,,,
139427,7,2019,,,,,,
152024,7,2019,,,,,,
151968,7,2019,,,,,,
152023,7,2019,,,,,,
151970,7,2019,,,,,,
141074,7,2019,,,,,,
151909,7,2019,,,,,,
124149,7,2019,,,,,,
151920,7,2019,,,,,,
141094,7,2019,,,,,,
141142,7,2019,,,,,,
151845,7,2019,,,,,,
141364,7,2019,,,,,,
151868,7,2019,,,,,,
141100,7,2019,,,,,,
141110,7,2019,,,,,,
141637,7,2019,,,,,,
141466,7,2019,,,,,,
151852,7,2019,,,,,,
138396,7,2019,,,,,,
151715,7,2019,,,,,,
151973,7,2019,,,,,,
139229,8,2019,,,,,,
139936,8,2019,,,,,,
151771,8,2019,,,,,,
141631,8,2019,,,,,,
141191,8,2019,,,,,,
151881,8,2019,,,,,,
140505,8,2019,,,,,,
134426,8,2019,,,,,,
151776,8,2019,,,,,,
140793,8,2019,,,,,,
152006,8,2019,,,,,,
152007,8,2019,,,,,,
151797,8,2019,,,,,,
141111,8,2019,,,,,,
141237,8,2019,,,,,,
152011,8,2019,,,,,,
141230,8,2019,,,,,,
151984,8,2019,,,,,,
152019,8,2019,,,,,,
141343,8,2019,,,,,,
140920,8,2019,,,,,,
141567,8,2019,,,,,,
141338,8,2019,,,,,,
138443,8,2019,,,,,,
151818,8,2019,,,,,,
140589,8,2019,,,,,,
141613,8,2019,,,,,,
141266,8,2019,,,,,,
141281,8,2019,,,,,,
152018,8,2019,,,,,,
140900,8,2019,,,,,,
151734,8,2019,,,,,,
151957,8,2019,,,,,,
140902,8,2019,,,,,,
151977,8,2019,,,,,,
152017,8,2019,,,,,,
151904,8,2019,,,,,,
152016,8,2019,,,,,,
151976,8,2019,,,,,,
139562,8,2019,,,,,,
140837,8,2019,,,,,,
131654,8,2019,,,,,,
152021,8,2019,,,,,,
151920,8,2019,,,,,,
152015,8,2019,,,,,,
139447,8,2019,,,,,,
140905,8,2019,,,,,,
141094,8,2019,,,,,,
152012,8,2019,,,,,,
120761,8,2019,,,,,,
151911,8,2019,,,,,,
151715,8,2019,,,,,,
141637,8,2019,,,,,,
151875,9,2019,,,,,,
152135,9,2019,,,,,,
151987,9,2019,,,,,,
151988,9,2019,,,,,,
152136,9,2019,,,,,,
141435,9,2019,,,,,,
152137,9,2019,,,,,,
152138,9,2019,,,,,,
152140,9,2019,,,,,,
152141,9,2019,,,,,,
162256,9,2019,,,,,,
151877,9,2019,,,,,,
151726,9,2019,,,,,,
151678,9,2019,,,,,,
152143,9,2019,,,,,,
151878,9,2019,,,,,,
151791,9,2019,,,,,,
152145,9,2019,,,,,,
152146,9,2019,,,,,,
162145,9,2019,,,,,,
151963,9,2019,,,,,,
162146,9,2019,,,,,,
139912,9,2019,,,,,,
162281,9,2019,,,,,,
162148,9,2019,,,,,,
141433,9,2019,,,,,,
141193,9,2019,,,,,,
151790,9,2019,,,,,,
151880,9,2019,,,,,,
162149,9,2019,,,,,,
162151,9,2019,,,,,,
151884,9,2019,,,,,,
141187,9,2019,,,,,,
162153,9,2019,,,,,,
162155,9,2019,,,,,,
162156,9,2019,,,,,,
151965,9,2019,,,,,,
162157,9,2019,,,,,,
162158,9,2019,,,,,,
151886,9,2019,,,,,,
162160,9,2019,,,,,,
140512,9,2019,,,,,,
162161,9,2019,,,,,,
138239,9,2019,,,,,,
162317,9,2019,,,,,,
151888,9,2019,,,,,,
162164,9,2019,,,,,,
141219,9,2019,,,,,,
141526,9,2019,,,,,,
139291,9,2019,,,,,,
162165,9,2019,,,,,,
141425,9,2019,,,,,,
162166,9,2019,,,,,,
162167,9,2019,,,,,,
162169,9,2019,,,,,,
151890,9,2019,,,,,,
162170,9,2019,,,,,,
140533,9,2019,,,,,,
134240,9,2019,,,,,,
151798,9,2019,,,,,,
162172,9,2019,,,,,,
162173,9,2019,,,,,,
140541,9,2019,,,,,,
151801,9,2019,,,,,,
152020,9,2019,,,,,,
151891,9,2019,,,,,,
120850,9,2019,,,,,,
141535,9,2019,,,,,,
162176,9,2019,,,,,,
140820,9,2019,,,,,,
141025,9,2019,,,,,,
140561,9,2019,,,,,,
130303,9,2019,,,,,,
151696,9,2019,,,,,,
140563,9,2019,,,,,,
162179,9,2019,,,,,,
141644,9,2019,,,,,,
151808,9,2019,,,,,,
151698,9,2019,,,,,,
151809,9,2019,,,,,,
162181,9,2019,,,,,,
141540,9,2019,,,,,,
151919,9,2019,,,,,,
151811,9,2019,,,,,,
151728,9,2019,,,,,,
141366,9,2019,,,,,,
162182,9,2019,,,,,,
162183,9,2019,,,,,,
134250,9,2019,,,,,,
138320,9,2019,,,,,,
162185,9,2019,,,,,,
141273,9,2019,,,,,,
141272,9,2019,,,,,,
151814,9,2019,,,,,,
162187,9,2019,,,,,,
151815,9,2019,,,,,,
151816,9,2019,,,,,,
162188,9,2019,,,,,,
139903,9,2019,,,,,,
139389,9,2019,,,,,,
151993,9,2019,,,,,,
162190,9,2019,,,,,,
162191,9,2019,,,,,,
151821,9,2019,,,,,,
